Id,recommendations
105211,"[100049, 107124, 96316, 103511, 98986]"
112164,"[109605, 110032, 102368, 105029]"
106195,"[105664, 110193, 111156, 111052, 114053]"
112718,"[103822, 112152, 93811, 123012, 104108]"
99807,"[103711, 83050, 104229, 99385, 81292]"
114649,"[107451, 104279, 29422, 113457, 101352]"
112442,"[100412, 101396, 127181, 97266, 104752]"
113240,"[115110, 113710, 112322, 111737]"
108280,"[104201, 117638, 107128, 102085]"
104247,"[96161, 106465, 112538, 96462, 102596]"
98685,"[99779, 95346, 106138, 94693]"
108268,"[109505, 120043, 108173, 105775, 111597]"
114365,"[108173, 106978, 95791, 226413]"
99777,"[102432, 117682, 94199, 98748, 94541]"
108954,"[90999, 103511, 98986, 91585]"
122034,"[105313, 124747, 105034, 106528, 106753]"
101668,"[114590, 93822, 91585, 95213, 106691]"
99769,"[102432, 117682, 94199, 98748, 94541]"
114053,"[105664, 110193, 111156, 111052]"
110317,"[100975, 112148, 98101, 111834, 121613]"
78903,"[105213, 113246, 100074, 98161, 81354]"
137249,"[106486, 114454, 103538, 101255, 103966]"
111119,"[110430, 113606, 96213, 103465]"
109505,"[120043, 108173, 105775, 111597]"
111761,"[83851, 99494, 106524, 98793]"
112489,"[88110, 103511, 80336, 100333]"
107904,"[118177, 111086, 97428, 215647, 105305]"
113600,"[99935, 87313, 83870, 96160, 96346]"
111495,"[118177, 111086, 97428, 215647, 105305]"
94002,"[113473, 104022, 102477, 98830, 93781]"
114404,"[105664, 110193, 111156, 111052, 114053]"
110825,"[241134, 105488, 111052, 100429]"
108480,"[99385, 99807, 99565, 106149, 104229]"
98867,"[93593, 102285, 99910, 93688, 103445]"
113828,"[111150, 85964, 111462, 104022]"
106754,"[105664, 110193, 111156, 111052, 114053]"
115555,"[107011, 106526, 105203, 105125]"
100771,"[93826, 89233, 98510, 97082, 90260]"
108173,"[114365, 106978, 95791, 226413]"
97267,"[123012, 99573, 99607, 112152]"
103445,"[103425, 94413, 109958, 100762]"
107128,"[104201, 108280, 117638, 102085]"
115569,"[105664, 110193, 111156, 111052, 114053]"
109616,"[105031, 99517, 101531, 105041]"
102831,"[105664, 110193, 111156, 111052, 114053]"
92824,"[101243, 106173, 99495, 102349]"
107422,"[108954, 195922, 103511, 90999, 98986]"
113178,"[105664, 110193, 111156, 111052, 114053]"
114003,"[105664, 110193, 111156, 111052, 114053]"
105489,"[118177, 111086, 97428, 215647, 105305]"
113678,"[118177, 111086, 97428, 215647, 105305]"
87313,"[99935, 83870, 96160, 96346]"
111442,"[111918, 98452, 105271, 98028, 111074]"
105689,"[104201, 108280, 117638, 107128, 102085]"
108285,"[108284, 97219, 99654, 90259, 104246]"
106694,"[101262, 96723, 114046, 114021]"
107013,"[97890, 96567, 99969, 96450, 103411]"
49920,"[79622, 86430, 100698, 137004, 103023]"
106238,"[104127, 109616, 105031, 99517, 95670]"
106149,"[103711, 83050, 104229, 99385, 81292]"
96005,"[92137, 104555, 102970, 99119]"
106691,"[114590, 93822, 91585, 95213]"
107112,"[106727, 221437, 113250, 105579, 115553]"
98522,"[113473, 104022, 102477, 98830, 93781]"
107304,"[92824, 101243, 106173, 99495, 102349]"
